Space:	basespace
Pairing:	Fragmented
Quality scale:	Illumina
Number of reads:	33887

Length distribution
Mean:	214.616873727
StdDev:	56.5252036752
Min:	53
25 percentile:	164
Median:	238
75 percentile:	259
Max:	763
Total:	33887

Quality distribution
pos	mean	stdev	min	25pct	50pct	75pct	max	count
1	34.7789417771	3.96342040638	13	35	36	37	40	33887
2	34.3391270989	4.5419238786	13	34	36	37	40	33887
3	33.9620503438	4.88006784496	13	34	36	37	40	33887
4	33.6425472895	5.16838342191	11	33	36	37	40	33887
5	33.39478266	5.37064129536	10	32	35	37	40	33887
6	33.2524566943	5.45015788809	10	32	35	37	40	33887
7	33.0878212884	5.57704971808	7	32	35	37	40	33887
8	32.9516923894	5.77578853804	7	32	35	37	40	33887
9	32.8828164193	5.88686061492	7	32	35	37	40	33887
10	32.821790067	5.94987023878	7	32	35	37	40	33887
11	32.8888659368	5.91958414037	8	32	35	37	40	33887
12	32.8833475964	5.94557114483	6	32	35	37	40	33887
13	32.9365833505	5.93792456739	6	32	35	37	40	33887
14	33.0055478502	5.89662605341	6	32	35	37	40	33887
15	33.0862572668	5.81695362522	6	32	35	37	40	33887
16	33.179891994	5.71942130281	6	32	35	37	40	33887
17	33.2281996046	5.66122511167	7	32	35	37	40	33887
18	33.2201729277	5.65052347695	6	32	35	37	40	33887
19	33.9912650869	5.98396757869	6	33	36	37	40	33887
20	33.9644111311	6.01667271688	6	33	36	37	40	33887
21	33.9812612506	5.9887732148	6	33	36	37	40	33887
22	33.9593649482	5.9902265654	6	33	36	37	40	33887
23	33.9350783486	6.04697221729	6	33	36	37	40	33887
24	33.9453182636	6.05485478312	6	33	36	37	40	33887
25	33.9921208723	5.97930902911	6	33	36	37	40	33887
26	33.8973647712	5.99900401606	6	33	36	37	40	33887
27	33.8856788739	5.99541700659	6	33	36	37	40	33887
28	33.7858765898	6.01644032364	6	33	36	37	40	33887
29	33.583055449	6.15333106231	6	32	36	37	40	33887
30	33.3638858559	6.26231637429	6	32	36	37	40	33887
31	33.0449139788	6.50229720943	6	31	36	37	40	33887
32	32.91433293	6.54515077421	6	31	36	37	40	33887
33	32.835748222	6.53294642325	6	31	35	37	40	33887
34	32.7174727772	6.57959023227	6	31	35	37	40	33887
35	32.5903738897	6.65518863267	6	31	35	37	40	33887
36	32.5567031605	6.62645884037	6	31	35	37	40	33887
37	32.6548824033	6.50853286919	6	31	35	37	40	33887
38	32.6084044029	6.5581484742	6	31	35	37	40	33887
39	32.6427538584	6.54536013589	6	31	35	37	40	33887
40	32.6869005813	6.53688027496	6	31	35	37	40	33887
41	32.7367722135	6.49047356269	6	31	35	37	40	33887
42	32.7858175702	6.46985177545	6	31	35	37	40	33887
43	32.8167143742	6.49569253526	6	31	35	37	40	33887
44	32.7399297666	6.59838753675	6	31	35	37	40	33887
45	32.7554224334	6.62531452634	6	31	36	37	40	33887
46	32.1606220675	6.35179943164	6	30	35	37	40	33887
47	32.2136217429	6.30853651894	6	30	35	37	40	33887
48	32.2719036799	6.26081942466	6	31	35	37	40	33887
49	32.4147608227	6.13468887726	6	31	35	37	40	33887
50	32.6116799953	6.00885920807	7	31	35	37	40	33887
51	32.8049694573	5.87153196849	6	32	35	37	40	33887
52	32.9184938177	5.83279605042	6	32	35	37	40	33887
53	32.9712279045	5.85919233184	6	32	35	37	40	33887
54	33.0889452871	5.78368084451	6	32	35	37	40	33886
55	33.1781856814	5.7226748443	6	32	35	37	40	33886
56	33.2833618604	5.65206607793	6	32	36	37	40	33886
57	33.4086938559	5.53853523488	6	33	36	37	40	33886
58	33.4488284247	5.50547440671	6	33	36	37	40	33886
59	33.5099451101	5.46952102815	6	33	36	37	40	33886
60	33.4926813433	5.48645207858	6	33	36	37	40	33886
61	33.5197131559	5.47597629759	6	33	36	37	40	33886
62	33.5511715753	5.4697439176	6	33	36	37	40	33886
63	33.6338310807	5.40412451596	6	33	36	37	40	33886
64	33.72162545	5.32155376008	6	33	36	37	40	33886
65	33.7632945759	5.30540047367	6	34	36	37	40	33886
66	33.7680753113	5.32769263429	6	34	36	37	40	33886
67	33.7743544341	5.28778322721	6	34	36	37	40	33885
68	33.7586247602	5.30415581771	6	34	36	37	40	33885
