Space:	basespace
Pairing:	Fragmented
Quality scale:	Illumina
Number of reads:	75869

Length distribution
Mean:	35.5304274473
StdDev:	0.499076600778
Min:	35
25 percentile:	35
Median:	36
75 percentile:	36
Max:	36
Total:	75869

Quality distribution
pos	mean	stdev	min	25pct	50pct	75pct	max	count
1	36.4503156757	3.60470664742	2	37	37	37	37	75869
2	36.3853352489	3.81468866106	2	37	37	37	37	75869
3	36.4243498662	3.64978625925	2	37	37	37	37	75869
4	36.4085331295	3.69272488234	2	37	37	37	37	75869
5	36.4281722443	3.59171686224	2	37	37	37	37	75869
6	36.4295166669	3.59569364156	2	37	37	37	37	75869
7	36.4667123595	3.49729158451	2	37	37	37	37	75869
8	36.4476400111	3.54741633077	2	37	37	37	37	75869
9	36.5245225323	3.36056141744	2	37	37	37	37	75869
10	36.4274077687	3.57614090692	2	37	37	37	37	75869
11	36.491175579	3.45597865286	2	37	37	37	37	75869
12	36.4078213763	3.66049553885	2	37	37	37	37	75869
13	36.4759387892	3.4607160645	2	37	37	37	37	75869
14	36.4344725777	3.56674098824	2	37	37	37	37	75869
15	36.4827795279	3.43817410402	2	37	37	37	37	75869
16	36.4439626198	3.54412604579	2	37	37	37	37	75869
17	36.391240164	3.74827743466	2	37	37	37	37	75869
18	36.3911347191	3.67916406047	2	37	37	37	37	75869
19	36.3800893646	3.70243131121	2	37	37	37	37	75869
20	36.4465987426	3.54549046632	2	37	37	37	37	75869
21	36.4110638074	3.63398129011	2	37	37	37	37	75869
22	36.4144644058	3.62692884374	2	37	37	37	37	75869
23	36.3169146819	3.93284379122	2	37	37	37	37	75869
24	36.2259420844	4.2944598577	2	37	37	37	37	75869
25	36.1175315346	4.72020290173	2	37	37	37	37	75869
26	36.0057862895	5.08032756914	2	37	37	37	37	75869
27	35.818463404	5.6484652988	2	37	37	37	37	75869
28	35.3236236144	6.85366543282	2	37	37	37	37	75869
29	34.7670985515	8.04732292281	2	37	37	37	37	75869
30	33.4690057863	10.1307841796	2	37	37	37	37	75869
31	32.0849885988	11.8112327683	2	37	37	37	37	75869
32	31.5086398924	12.4196673087	2	37	37	37	37	75869
33	31.0554903847	12.8378569395	2	37	37	37	37	75869
34	30.0928047028	13.6813979587	2	37	37	37	37	75869
35	27.8393810384	15.1389039197	2	11	37	37	37	75869
36	36.3281812986	3.46506527237	11	37	37	37	37	40243

Average quality string
EEEEEEEEEEEEEEEEEEEEEEEEEEDDCBA@@?<E
